order_id,order_date,customer_name,email,product_code,quantity,unit_price
ORD-1001,2026-08-01,山田太郎,taro.yamada@example.com,P001,2,1200
ORD-1002,2026-08-01,佐藤花子,hanako.sato@example.com,P002,1,3500
,2026-08-02,鈴木一郎,,P001,1,1200
ORD-1005,2026-08-03,高橋健,not-an-email,,0,-100
ORD-1006,2026-08-03,伊藤明,akira.ito@example.com,P001,-1,1200
ORD-1007,2026-08-04,渡辺翔,sho.watanabe@example.com,P001,abc,1200
ORD-1008,2026-08-04,中村愛,ai.nakamura@example.com,P001,1.5,1200
ORD-1009,2026-08-05,小林亮,ryo.kobayashi@example.com,P001,1,abc
ORD-1010,2026-08-05,加藤結衣,yui.kato@example.com,P001,1,-100
ORD-1011,2026-08-06,吉田洋,invalid-email,P003,1,800
ORD-1012,2026-08-06,山本恵,megumi.yamamoto@example.com,P999,1,1000
ORD-1013,2026-08-07,松本駿,shun.matsumoto@example.com,P004,1,1500
ORD-1014,2026-08-07,井上葵,aoi.inoue@example.com,P001,1,999
ORD-1015,2026-08-08,木村大輔,daisuke.kimura@example.com,P005,1,500
ORD-1015,2026-08-08,森由香,yuka.mori@example.com,P005,1,500
